Group	Model	Condition	ss	acc.m	acc.lb	acc.ub
C2	LSTM	HUN	169	0.645	0.574	0.716
C3	LSTM	HUN	173	0.659	0.590	0.728
C1	LSTM	HUO	 44	0.591	0.455	0.727
C1	Baseline	HUO	  0	0.793	0.761	0.825
C2	LSTM	HUO	169	0.692	0.621	0.763
C3	LSTM	HUO	173	0.688	0.618	0.757
C1	LSTM	HAN	 44	0.659	0.523	0.795
C1	Baseline	HAN	  0	0.793	0.761	0.825
C2	LSTM	HAN	169	0.615	0.544	0.692
C3	LSTM	HAN	173	0.566	0.491	0.642
C1	LSTM	HAO	 44	0.568	0.432	0.705
C1	Baseline	HAO	  0	0.793	0.761	0.825
C2	LSTM	HAO	169	0.686	0.615	0.757
C3	LSTM	HAO	173	0.688	0.618	0.757
C1	LSTM	RUN	 38	0.632	0.474	0.789
C1	Baseline	RUN	  0	0.793	0.761	0.825
C2	LSTM	RUN	149	0.564	0.490	0.644
C3	LSTM	RUN	157	0.592	0.516	0.669
C1	LSTM	RUO	 38	0.632	0.474	0.789
C1	Baseline	RUO	  0	0.793	0.761	0.825
C2	LSTM	RUO	149	0.658	0.584	0.738
C3	LSTM	RUO	157	0.637	0.561	0.713
C1	LSTM	RAN	 38	0.632	0.474	0.789
C1	Baseline	RAN	  0	0.793	0.761	0.825
C2	LSTM	RAN	149	0.591	0.510	0.671
C3	LSTM	RAN	157	0.561	0.484	0.637
C1	LSTM	RAO	 38	0.711	0.579	0.868
C1	Baseline	RAO	  0	0.793	0.761	0.825
C2	LSTM	RAO	149	0.698	0.624	0.772
C3	LSTM	RAO	157	0.643	0.567	0.720
C1	Ensemble	LUN	 43	0.814	0.698	0.930
C1	Baseline	LUN	  0	0.793	0.761	0.825
C2	Ensemble	LUN	170	0.841	0.788	0.900
C3	Ensemble	LUN	180	0.883	0.839	0.933
C1	Ensemble	LUO	 43	0.860	0.767	0.977
C1	Baseline	LUO	  0	0.793	0.761	0.825
C2	Ensemble	LUO	170	0.788	0.729	0.853
C3	Ensemble	LUO	180	0.872	0.828	0.922
C1	Ensemble	LAN	 43	0.860	0.767	0.977
C1	Baseline	LAN	  0	0.793	0.761	0.825
C2	Ensemble	LAN	170	0.818	0.765	0.876
C3	Ensemble	LAN	180	0.861	0.811	0.911
C1	Ensemble	LAO	 43	0.860	0.767	0.977
C1	Baseline	LAO	  0	0.793	0.761	0.825
C2	Ensemble	LAO	170	0.824	0.771	0.882
C3	Ensemble	LAO	180	0.867	0.817	0.917
C1	Ensemble	HUN	 44	0.727	0.591	0.864
C1	Baseline	HUN	  0	0.793	0.761	0.825
C2	Ensemble	HUN	171	0.819	0.766	0.877
C3	Ensemble	HUN	180	0.800	0.744	0.861
C1	Ensemble	HUO	 44	0.795	0.682	0.932
C1	Baseline	HUO	  0	0.793	0.761	0.825
C2	Ensemble	HUO	171	0.842	0.789	0.901
C3	Ensemble	HUO	180	0.889	0.844	0.939
C1	Ensemble	HAN	 44	0.864	0.773	0.977
C1	Baseline	HAN	  0	0.793	0.761	0.825
C2	Ensemble	HAN	171	0.807	0.749	0.865
C3	Ensemble	HAN	180	0.767	0.706	0.828
C1	Ensemble	HAO	 44	0.886	0.795	0.977
C1	Baseline	HAO	  0	0.793	0.761	0.825
C2	Ensemble	HAO	171	0.842	0.789	0.901
C3	Ensemble	HAO	180	0.839	0.789	0.894
C1	Ensemble	RUN	 38	0.737	0.605	0.868
C1	Baseline	RUN	  0	0.793	0.761	0.825
C2	Ensemble	RUN	150	0.853	0.800	0.913
C3	Ensemble	RUN	160	0.794	0.731	0.856
C1	Ensemble	RUO	 38	0.816	0.711	0.947
C1	Baseline	RUO	  0	0.793	0.761	0.825
C2	Ensemble	RUO	150	0.747	0.680	0.820
C3	Ensemble	RUO	160	0.863	0.813	0.919
C1	Ensemble	RAN	 38	0.737	0.605	0.895
C1	Baseline	RAN	  0	0.793	0.761	0.825
C2	Ensemble	RAN	150	0.773	0.707	0.840
C3	Ensemble	RAN	160	0.781	0.719	0.850
C1	Ensemble	RAO	 38	0.842	0.737	0.974
C1	Baseline	RAO	  0	0.793	0.761	0.825
C2	Ensemble	RAO	150	0.840	0.780	0.900
C3	Ensemble	RAO	160	0.831	0.775	0.888
